100 4950
3 12 10
3 13 4
3 14 4
3 15 2
3 16 18
3 17 17
3 18 2
3 19 11
3 20 18
3 21 7
3 22 6
3 23 3
3 24 19
3 25 7
3 26 16
3 27 2
3 28 11
3 29 9
3 30 6
3 31 9
3 32 17
3 33 20
3 34 10
3 35 3
3 36 20
3 37 3
3 38 20
3 39 9
3 40 4
3 41 2
3 42 20
3 43 4
3 44 15
3 45 11
3 46 18
3 47 8
3 48 16
3 49 4
3 50 8
3 51 18
3 52 6
3 53 18
3 54 3
3 55 3
3 56 18
3 57 2
3 58 9
3 59 15
3 60 1
3 61 3
3 62 9
3 63 9
3 64 16
3 65 3
3 66 11
3 67 12
3 68 8
3 69 19
3 70 18
3 71 5
3 72 6
3 73 10
3 74 1
3 75 4
3 76 6
3 77 14
3 78 19
3 79 12
3 80 5
3 81 12
3 82 1
3 83 20
3 84 1
3 85 11
3 86 5
3 87 16
3 88 2
3 89 10
3 90 20
3 91 15
3 92 6
3 93 11
3 94 13
3 95 18
3 96 9
3 97 17
3 98 15
3 99 13
4 5 9
4 6 13
4 7 17
4 8 7
4 9 15
4 10 11
4 11 2
4 12 7
4 13 13
4 14 11
4 15 8
4 16 10
4 17 15
4 18 2
4 19 9
4 20 9
4 21 8
4 22 9
4 23 1
4 24 18
4 25 19
4 26 19
4 27 20
4 28 18
4 29 19
4 30 4
4 31 7
4 32 8
4 33 9
4 34 2
4 35 15
4 36 8
4 37 5
4 38 18
4 39 12
4 40 19
4 41 10
4 42 11
4 43 2
4 44 13
4 45 20
4 46 3
4 47 1
4 48 10
4 49 5
4 50 14
4 51 13
4 52 9
4 53 7
4 54 15
4 55 11
4 56 18
4 57 7
4 58 13
4 59 18
4 60 18
4 61 12
4 62 10
4 63 4
4 64 9
4 65 11
4 66 16
4 67 17
4 68 9
4 69 11
4 70 20
4 71 9
4 72 17
4 73 5
4 74 19
4 75 17
4 76 18
4 77 20
4 78 10
4 79 3
4 80 1
4 81 13
4 82 1
4 83 9
4 84 11
4 85 17
4 86 8
4 87 3
4 88 7
4 89 4
4 90 3
4 91 15
4 92 6
4 93 10
4 94 5
4 95 1
4 96 12
4 97 7
4 98 8
4 99 15
5 6 12
5 7 20
5 8 7
5 9 4
5 10 4
5 11 12
5 12 1
5 13 11
5 14 20
5 15 9
5 16 8
5 17 17
5 18 12
5 19 5
5 20 4
5 21 18
5 22 6
5 23 4
5 24 13
5 25 7
5 26 5
5 27 20
5 28 20
5 29 3
5 30 20
5 31 13
5 32 17
5 33 12
5 34 11
5 35 13
5 36 15
5 37 17
5 38 14
5 39 15
5 40 13
5 41 14
5 42 14
5 43 1
5 44 4
5 45 9
5 46 12
5 47 6
5 48 15
5 49 12
5 50 3
5 51 19
5 52 19
5 53 10
5 54 2
5 55 4
5 56 5
5 57 16
5 58 12
5 59 12
5 60 16
5 61 4
5 62 18
5 63 1
5 64 4
5 65 13
5 66 5
5 67 12
5 68 2
5 69 16
5 70 3
5 71 1
5 72 11
5 73 17
5 74 2
5 75 18
5 76 14
5 77 7
5 78 6
5 79 18
5 80 12
5 81 16
5 82 5
5 83 16
5 84 16
5 85 1
5 86 3
5 87 1
5 88 18
5 89 4
5 90 17
5 91 12
5 92 18
5 93 13
5 94 7
5 95 13
5 96 15
5 97 8
5 98 14
5 99 18
6 7 5
6 8 7
6 9 9
6 10 3
6 11 1
6 12 1
6 13 10
6 14 2
6 15 9
6 16 2
6 17 19
6 18 12
6 19 5
6 20 10
6 21 18
6 22 9
6 23 17
6 24 16
6 25 6
6 26 18
6 27 4
6 28 3
6 29 3
6 30 18
6 31 16
6 32 19
6 33 15
6 34 5
6 35 19
6 36 12
6 37 5
6 38 13
6 39 5
6 40 7
6 41 19
6 42 19
6 43 2
6 44 6
6 45 2
6 46 16
6 47 6
6 48 4
6 49 12
6 50 13
6 51 9
6 52 5
6 53 20
6 54 1
6 55 19
6 56 7
6 57 15
6 58 13
6 59 8
6 60 12
6 61 19
6 62 11
6 63 1
6 64 5
6 65 17
6 66 9
6 67 11
6 68 6
6 69 18
6 70 19
6 71 9
6 72 19
6 73 5
6 74 3
6 75 1
6 76 14
6 77 20
6 78 20
6 79 14
6 80 3
6 81 4
6 82 3
6 83 14
6 84 14
6 85 10
6 86 12
6 87 13
6 88 11
6 89 20
6 90 12
6 91 20
6 92 10
6 93 18
6 94 6
6 95 20
6 96 11
6 97 1
6 98 13
6 99 18
7 8 5
7 9 10
7 10 11
7 11 6
7 12 1
7 13 17
7 14 17
7 15 20
7 16 13
7 17 14
7 18 2
7 19 17
7 20 20
7 21 2
7 22 9
7 23 20
7 24 20
7 25 16
7 26 8
7 27 18
7 28 6
7 29 12
7 30 1
7 31 19
7 32 9
7 33 14
7 34 5
7 35 16
7 36 6
7 37 18
7 38 16
7 39 2
7 40 14
7 41 4
7 42 6
7 43 2
7 44 20
7 45 10
7 46 8
7 47 16
7 48 5
7 49 15
7 50 17
7 51 3
7 52 1
7 53 5
7 54 16
7 55 16
7 56 16
7 57 7
7 58 6
7 59 9
7 60 14
7 61 4
7 62 19
7 63 19
7 64 17
7 65 18
7 66 12
7 67 8
7 68 10
7 69 19
7 70 13
7 71 17
7 72 13
7 73 11
7 74 4
7 75 6
7 76 5
7 77 13
7 78 12
7 79 17
7 80 3
7 81 4
7 82 6
7 83 18
7 84 9
7 85 14
7 86 11
7 87 18
7 88 20
7 89 16
7 90 6
7 91 6
7 92 2
7 93 17
7 94 3
7 95 13
7 96 14
7 97 15
7 98 7
7 99 7
8 9 4
8 10 14
8 11 18
8 12 14
8 13 5
8 14 13
8 15 3
8 16 9
8 17 3
8 18 6
8 19 19
8 20 16
8 21 4
8 22 5
8 23 19
8 24 8
8 25 9
8 26 5
8 27 5
8 28 20
8 29 20
8 30 17
8 31 18
8 32 15
8 33 8
8 34 13
8 35 11
8 36 18
8 37 4
8 38 5
8 39 8
8 40 2
8 41 6
8 42 9
8 43 18
8 44 18
8 45 20
8 46 4
8 47 19
8 48 6
8 49 1
8 50 15
8 51 2
8 52 5
8 53 20
8 54 20
8 55 20
8 56 7
8 57 4
8 58 15
8 59 14
8 60 19
8 61 15
8 62 17
8 63 5
8 64 12
8 65 4
8 66 2
8 67 1
8 68 7
8 69 14
8 70 12
8 71 10
8 72 8
8 73 19
8 74 11
8 75 8
8 76 13
8 77 14
8 78 2
8 79 13
8 80 7
8 81 12
8 82 19
8 83 3
8 84 20
8 85 20
8 86 15
8 87 19
8 88 9
8 89 6
8 90 7
8 91 17
8 92 3
8 93 17
8 94 13
8 95 3
8 96 17
8 97 14
8 98 2
8 99 6
9 10 9
9 11 5
9 12 7
9 13 19
9 14 16
9 15 1
9 16 15
9 17 19
9 18 20
9 19 5
9 20 6
9 21 12
9 22 1
9 23 13
9 24 20
9 25 13
9 26 3
9 27 17
9 28 1
9 29 11
9 30 5
9 31 14
9 32 8
9 33 8
9 34 14
9 35 3
9 36 5
9 37 2
9 38 19
9 39 15
9 40 20
9 41 9
9 42 4
9 43 3
9 44 18
9 45 5
9 46 9
9 47 17
9 48 2
9 49 12
9 50 16
9 51 20
9 52 18
9 53 2
9 54 14
9 55 16
9 56 19
9 57 10
9 58 12
9 59 1
9 60 17
9 61 10
9 62 15
9 63 4
9 64 12
9 65 18
9 66 18
9 67 6
9 68 13
9 69 15
9 70 1
9 71 20
9 72 3
9 73 14
9 74 12
9 75 6
9 76 15
9 77 5
9 78 5
9 79 14
9 80 17
9 81 15
9 82 4
9 83 13
9 84 1
9 85 6
9 86 3
9 87 2
9 88 11
9 89 7
9 90 17
9 91 6
9 92 4
9 93 11
9 94 15
9 95 2
9 96 19
9 97 18
9 98 18
9 99 5
10 11 3
10 12 19
10 13 2
10 14 10
10 15 20
10 16 12
10 17 15
10 18 10
10 19 14
10 20 7
10 21 14
10 22 1
10 23 2
10 24 16
10 25 20
10 26 14
10 27 20
10 28 8
10 29 17
10 30 1
10 31 5
10 32 13
10 33 13
10 34 11
10 35 17
10 36 18
10 37 6
10 38 19
10 39 5
10 40 19
10 41 14
10 42 7
10 43 8
10 44 9
10 45 3
10 46 15
10 47 10
10 48 9
10 49 11
10 50 13
10 51 18
10 52 19
10 53 19
10 54 11
10 55 3
10 56 13
10 57 11
10 58 15
10 59 20
10 60 19
10 61 9
10 62 9
10 63 17
10 64 12
10 65 2
10 66 7
10 67 12
10 68 2
10 69 13
10 70 20
10 71 6
10 72 2
10 73 14
10 74 4
10 75 10
10 76 11
10 77 17
10 78 3
10 79 18
10 80 19
10 81 16
10 82 10
10 83 19
10 84 16
10 85 4
10 86 19
10 87 20
10 88 6
10 89 17
10 90 16
10 91 2
10 92 18
10 93 14
10 94 8
10 95 17
10 96 17
10 97 3
10 98 15
10 99 2
11 12 11
11 13 7
11 14 14
11 15 11
11 16 16
11 17 13
11 18 17
11 19 7
11 20 1
11 21 17
11 22 3
11 23 7
11 24 19
11 25 8
11 26 3
11 27 10
11 28 5
11 29 7
11 30 5
11 31 14
11 32 18
11 33 10
11 34 17
11 35 3
11 36 17
11 37 7
11 38 20
11 39 18
11 40 12
11 41 19
11 42 14
11 43 10
11 44 20
11 45 1
11 46 18
11 47 20
11 48 7
11 49 3
11 50 20
11 51 7
11 52 14
11 53 15
11 54 17
11 55 8
11 56 7
11 57 14
11 58 14
11 59 14
11 60 13
11 61 11
11 62 1
11 63 1
11 64 4
11 65 6
11 66 6
11 67 12
11 68 11
11 69 15
11 70 16
11 71 15
11 72 11
11 73 20
11 74 8
11 75 1
11 76 6
11 77 19
11 78 18
11 79 13
11 80 3
11 81 2
11 82 17
11 83 13
11 84 5
11 85 19
11 86 16
11 87 2
11 88 1
11 89 8
11 90 17
11 91 2
11 92 14
11 93 4
11 94 17
11 95 13
11 96 6
11 97 10
11 98 7
11 99 4
12 13 8
12 14 14
12 15 1
12 16 4
12 17 9
12 18 19
12 19 17
12 20 6
12 21 3
12 22 11
12 23 12
12 24 18
12 25 12
12 26 18
12 27 6
12 28 8
12 29 12
12 30 10
12 31 19
12 32 3
12 33 8
12 34 19
12 35 19
12 36 3
12 37 17
12 38 12
12 39 13
12 40 17
12 41 2
12 42 13
12 43 8
12 44 2
12 45 15
12 46 11
12 47 8
12 48 11
12 49 4
12 50 1
12 51 8
12 52 12
12 53 14
12 54 18
12 55 6
12 56 17
12 57 3
12 58 14
12 59 15
12 60 11
12 61 1
12 62 16
12 63 9
12 64 12
12 65 16
12 66 8
12 67 16
12 68 17
12 69 18
12 70 8
12 71 11
12 72 10
12 73 17
12 74 6
12 75 1
12 76 14
12 77 2
12 78 2
12 79 15
12 80 6
12 81 2
12 82 8
12 83 6
12 84 4
12 85 3
12 86 19
12 87 8
12 88 5
12 89 1
12 90 15
12 91 9
12 92 5
12 93 9
12 94 1
12 95 3
12 96 10
12 97 4
12 98 4
12 99 20
13 14 14
13 15 1
13 16 17
13 17 20
13 18 11
13 19 5
13 20 20
13 21 12
13 22 11
13 23 2
13 24 3
13 25 13
13 26 14
13 27 20
13 28 13
13 29 7
13 30 11
13 31 1
13 32 10
13 33 12
13 34 10
13 35 5
13 36 2
13 37 15
13 38 1
13 39 15
13 40 19
13 41 18
13 42 4
13 43 6
13 44 18
13 45 12
13 46 5
13 47 5
13 48 17
13 49 12
13 50 12
13 51 15
13 52 18
13 53 16
13 54 12
13 55 11
13 56 15
13 57 14
13 58 11
13 59 11
13 60 19
13 61 17
13 62 16
13 63 5
13 64 17
13 65 18
13 66 13
13 67 16
13 68 17
13 69 14
13 70 10
13 71 5
13 72 19
13 73 18
13 74 9
13 75 17
13 76 15
13 77 19
13 78 3
13 79 8
13 80 13
13 81 10
13 82 7
13 83 15
13 84 4
13 85 9
13 86 20
13 87 13
13 88 18
13 89 13
13 90 20
13 91 14
13 92 6
13 93 7
13 94 5
13 95 14
13 96 7
13 97 17
13 98 6
13 99 11
14 15 8
14 16 11
14 17 6
14 18 1
14 19 11
14 20 13
14 21 11
14 22 17
14 23 11
14 24 12
14 25 13
14 26 10
14 27 10
14 28 9
14 29 12
14 30 12
14 31 3
14 32 20
14 33 19
14 34 18
14 35 3
14 36 9
14 37 15
14 38 10
14 39 2
14 40 17
14 41 11
14 42 7
14 43 4
14 44 16
14 45 12
14 46 15
14 47 16
14 48 1
14 49 1
14 50 20
14 51 14
14 52 16
14 53 17
14 54 6
14 55 3
14 56 7
14 57 15
14 58 12
14 59 19
14 60 16
14 61 20
14 62 2
14 63 10
14 64 20
14 65 12
14 66 8
14 67 1
14 68 3
14 69 4
14 70 8
14 71 11
14 72 14
14 73 5
14 74 4
14 75 18
14 76 11
14 77 18
14 78 3
14 79 10
14 80 11
14 81 20
14 82 2
14 83 12
14 84 17
14 85 10
14 86 11
14 87 7
14 88 17
14 89 2
14 90 10
14 91 4
14 92 16
14 93 13
14 94 10
14 95 2
14 96 15
14 97 5
14 98 5
14 99 8
15 16 15
15 17 6
15 18 17
15 19 6
15 20 12
15 21 1
15 22 3
15 23 10
15 24 14
15 25 15
15 26 14
15 27 13
15 28 1
15 29 1
15 30 5
15 31 10
15 32 19
15 33 16
15 34 17
15 35 11
15 36 18
15 37 3
15 38 14
15 39 1
15 40 12
15 41 2
15 42 11
15 43 6
15 44 9
15 45 14
15 46 20
15 47 1
15 48 6
15 49 16
15 50 16
15 51 14
15 52 3
15 53 11
15 54 3
15 55 11
15 56 17
15 57 18
15 58 18
15 59 16
15 60 13
15 61 1
15 62 5
15 63 4
15 64 19
15 65 18
15 66 10
15 67 1
15 68 2
15 69 3
15 70 19
15 71 20
15 72 15
15 73 7
15 74 5
15 75 17
15 76 8
15 77 17
15 78 10
15 79 3
15 80 7
15 81 4
15 82 9
15 83 6
15 84 10
15 85 17
15 86 4
15 87 5
15 88 10
15 89 4
15 90 4
15 91 4
15 92 14
15 93 4
15 94 11
15 95 7
15 96 8
15 97 5
15 98 2
15 99 2
16 17 19
16 18 9
16 19 2
16 20 9
16 21 15
16 22 8
16 23 2
16 24 18
16 25 13
16 26 8
16 27 15
16 28 16
16 29 12
16 30 16
16 31 1
16 32 6
16 33 17
16 34 5
16 35 11
16 36 15
16 37 1
16 38 10
16 39 11
16 40 5
16 41 20
16 42 5
16 43 16
16 44 18
16 45 7
16 46 3
16 47 15
16 48 1
16 49 19
16 50 5
16 51 10
16 52 18
16 53 9
16 54 1
16 55 9
16 56 15
16 57 8
16 58 11
16 59 15
16 60 11
16 61 4
16 62 11
16 63 8
16 64 20
16 65 18
16 66 17
16 67 10
16 68 20
16 69 3
16 70 13
16 71 7
16 72 20
16 73 4
16 74 10
16 75 9
16 76 1
16 77 12
16 78 2
16 79 7
16 80 15
16 81 15
16 82 1
16 83 15
16 84 9
16 85 19
16 86 8
16 87 11
16 88 20
16 89 17
16 90 2
16 91 9
16 92 14
16 93 18
16 94 3
16 95 9
16 96 8
16 97 13
16 98 11
16 99 4
17 18 13
17 19 8
17 20 3
17 21 15
17 22 18
17 23 20
17 24 19
17 25 17
17 26 12
17 27 9
17 28 14
17 29 11
17 30 11
17 31 11
17 32 10
17 33 7
17 34 1
17 35 6
17 36 1
17 37 4
17 38 14
17 39 10
17 40 19
17 41 15
17 42 13
17 43 9
17 44 3
17 45 11
17 46 15
17 47 18
17 48 13
17 49 18
17 50 17
17 51 17
17 52 9
17 53 9
17 54 2
17 55 8
17 56 1
17 57 16
17 58 14
17 59 12
17 60 9
17 61 15
17 62 17
17 63 14
17 64 15
17 65 9
17 66 14
17 67 10
17 68 18
17 69 16
17 70 11
17 71 2
17 72 10
17 73 11
17 74 20
17 75 5
17 76 1
17 77 10
17 78 16
17 79 12
17 80 9
17 81 5
17 82 20
17 83 18
17 84 3
17 85 17
17 86 20
17 87 16
17 88 2
17 89 14
17 90 17
17 91 4
17 92 1
17 93 4
17 94 11
17 95 9
17 96 16
17 97 18
17 98 3
17 99 20
18 19 16
18 20 15
18 21 13
18 22 2
18 23 2
18 24 13
18 25 4
18 26 17
18 27 3
18 28 13
18 29 10
18 30 12
18 31 17
18 32 14
18 33 11
18 34 2
18 35 7
18 36 14
18 37 9
18 38 9
18 39 4
18 40 17
18 41 2
18 42 10
18 43 11
18 44 2
18 45 8
18 46 4
18 47 10
18 48 2
18 49 15
18 50 11
18 51 10
18 52 20
18 53 5
18 54 12
18 55 9
18 56 12
18 57 9
18 58 17
18 59 9
18 60 2
18 61 18
18 62 13
18 63 1
18 64 2
18 65 20
18 66 1
18 67 11
18 68 5
18 69 5
18 70 16
18 71 13
18 72 5
18 73 8
18 74 17
18 75 20
18 76 15
18 77 12
18 78 1
18 79 11
18 80 10
18 81 16
18 82 9
18 83 1
18 84 1
18 85 3
18 86 4
18 87 15
18 88 3
18 89 19
18 90 17
18 91 12
18 92 5
18 93 18
18 94 20
18 95 1
18 96 5
18 97 11
18 98 14
18 99 1
19 20 14
19 21 10
19 22 20
19 23 19
19 24 11
19 25 1
19 26 18
19 27 5
19 28 5
19 29 14
19 30 19
19 31 13
19 32 19
19 33 14
19 34 9
19 35 14
19 36 18
19 37 3
19 38 6
19 39 16
19 40 6
19 41 19
19 42 10
19 43 15
19 44 2
19 45 8
19 46 6
19 47 11
19 48 5
19 49 18
19 50 7
19 51 8
19 52 15
19 53 4
19 54 7
19 55 15
19 56 7
19 57 16
19 58 4
19 59 4
19 60 14
19 61 15
19 62 18
19 63 12
19 64 15
19 65 4
19 66 19
19 67 20
19 68 9
19 69 4
19 70 1
19 71 6
19 72 3
19 73 8
19 74 19
19 75 20
19 76 7
19 77 4
19 78 9
19 79 11
19 80 1
19 81 17
19 82 9
19 83 14
19 84 8
19 85 15
19 86 20
19 87 16
19 88 4
19 89 10
19 90 5
19 91 10
19 92 10
19 93 20
19 94 14
19 95 5
19 96 2
19 97 1
19 98 8
19 99 9
20 21 2
20 22 10
20 23 7
20 24 4
20 25 10
20 26 7
20 27 17
20 28 5
20 29 6
20 30 15
20 31 4
20 32 6
20 33 11
20 34 17
20 35 10
20 36 19
20 37 10
20 38 13
20 39 12
20 40 16
20 41 4
20 42 1
20 43 10
20 44 3
20 45 14
20 46 18
20 47 3
20 48 13
20 49 15
20 50 1
20 51 9
20 52 16
20 53 15
20 54 8
20 55 4
20 56 16
20 57 1
20 58 7
20 59 13
20 60 2
20 61 12
20 62 4
20 63 18
20 64 20
20 65 12
20 66 2
20 67 11
20 68 14
20 69 1
20 70 12
20 71 2
20 72 16
20 73 11
20 74 20
20 75 15
20 76 20
20 77 10
20 78 3
20 79 11
20 80 14
20 81 15
20 82 18
20 83 14
20 84 1
20 85 14
20 86 9
20 87 1
20 88 3
20 89 16
20 90 19
20 91 1
20 92 4
20 93 5
20 94 13
20 95 5
20 96 16
20 97 7
20 98 18
20 99 12
21 22 8
21 23 9
21 24 6
21 25 16
21 26 13
21 27 7
21 28 19
21 29 6
21 30 13
21 31 12
21 32 16
21 33 12
21 34 12
21 35 18
21 36 13
21 37 19
21 38 7
21 39 13
21 40 14
21 41 19
21 42 8
21 43 13
21 44 17
21 45 4
21 46 8
21 47 8
21 48 14
21 49 3
21 50 5
21 51 8
21 52 15
21 53 20
21 54 20
21 55 5
21 56 7
21 57 1
21 58 9
21 59 17
21 60 14
21 61 4
21 62 5
21 63 10
21 64 6
21 65 11
21 66 1
21 67 15
21 68 5
21 69 6
21 70 12
21 71 12
21 72 7
21 73 19
21 74 15
21 75 11
21 76 19
21 77 8
21 78 8
21 79 4
21 80 8
21 81 3
21 82 1
21 83 18
21 84 5
21 85 8
21 86 4
21 87 18
21 88 7
21 89 14
21 90 20
21 91 3
21 92 9
21 93 4
21 94 17
21 95 16
21 96 18
21 97 19
21 98 12
21 99 3
22 23 15
22 24 20
22 25 18
22 26 12
22 27 6
22 28 10
22 29 19
22 30 13
22 31 8
22 32 11
22 33 6
22 34 15
22 35 14
22 36 1
22 37 9
22 38 11
22 39 3
22 40 1
22 41 20
22 42 15
22 43 12
22 44 19
22 45 9
22 46 9
22 47 19
22 48 6
22 49 1
22 50 16
22 51 7
22 52 13
22 53 19
22 54 16
22 55 8
22 56 16
22 57 19
22 58 12
22 59 5
22 60 14
22 61 11
22 62 9
22 63 4
22 64 15
22 65 14
22 66 5
22 67 5
22 68 19
22 69 14
22 70 11
22 71 13
22 72 5
22 73 3
22 74 2
22 75 14
22 76 16
22 77 19
22 78 3
22 79 10
22 80 20
22 81 5
22 82 2
22 83 9
22 84 11
22 85 19
22 86 11
22 87 6
22 88 15
22 89 5
22 90 15
22 91 8
22 92 12
22 93 15
22 94 16
22 95 7
22 96 16
22 97 11
22 98 12
22 99 12
23 24 16
23 25 9
23 26 12
23 27 3
23 28 8
23 29 16
23 30 15
23 31 16
23 32 17
23 33 10
23 34 18
23 35 10
23 36 14
23 37 9
23 38 18
23 39 14
23 40 19
23 41 11
23 42 15
23 43 6
23 44 15
23 45 11
23 46 16
23 47 19
23 48 2
23 49 3
23 50 15
23 51 15
23 52 15
23 53 13
23 54 18
23 55 12
23 56 14
23 57 20
23 58 16
23 59 5
23 60 18
23 61 20
23 62 2
23 63 16
23 64 17
23 65 15
23 66 2
23 67 8
23 68 14
23 69 20
23 70 3
23 71 4
23 72 8
23 73 5
23 74 5
23 75 16
23 76 18
23 77 11
23 78 14
23 79 11
23 80 14
23 81 10
23 82 4
23 83 15
23 84 9
23 85 13
23 86 7
23 87 19
23 88 4
23 89 18
23 90 4
23 91 12
23 92 17
23 93 16
23 94 15
23 95 5
23 96 10
23 97 10
23 98 18
23 99 2
24 25 5
24 26 18
24 27 16
24 28 9
24 29 9
24 30 9
24 31 11
24 32 9
24 33 17
24 34 8
24 35 6
24 36 13
24 37 9
24 38 4
24 39 19
24 40 18
24 41 7
24 42 10
24 43 1
24 44 20
24 45 15
24 46 11
24 47 10
24 48 4
24 49 9
24 50 18
24 51 14
24 52 7
24 53 18
24 54 11
24 55 18
24 56 19
24 57 10
24 58 2
24 59 1
24 60 3
24 61 13
24 62 16
24 63 1
24 64 2
24 65 7
24 66 15
24 67 9
24 68 5
24 69 19
24 70 18
24 71 1
24 72 4
24 73 14
24 74 8
24 75 14
24 76 7
24 77 17
24 78 7
24 79 4
24 80 17
24 81 14
24 82 3
24 83 14
24 84 2
24 85 14
24 86 18
24 87 16
24 88 7
24 89 8
24 90 8
24 91 1
24 92 6
24 93 12
24 94 12
24 95 7
24 96 19
24 97 5
24 98 13
24 99 9
25 26 19
25 27 4
25 28 20
25 29 2
25 30 12
25 31 4
25 32 2
25 33 3
25 34 4
25 35 1
25 36 7
25 37 7
25 38 13
25 39 2
25 40 12
25 41 19
25 42 10
25 43 10
25 44 8
25 45 18
25 46 20
25 47 16
25 48 6
25 49 13
25 50 12
25 51 11
25 52 3
25 53 9
25 54 16
25 55 3
25 56 2
25 57 19
25 58 15
25 59 2
25 60 14
25 61 16
25 62 2
25 63 13
25 64 1
25 65 13
25 66 17
25 67 19
25 68 16
25 69 9
25 70 16
25 71 16
25 72 1
25 73 14
25 74 5
25 75 11
25 76 12
25 77 5
25 78 12
25 79 11
25 80 17
25 81 17
25 82 16
25 83 6
25 84 20
25 85 14
25 86 4
25 87 13
25 88 15
25 89 8
25 90 19
25 91 3
25 92 18
25 93 17
25 94 18
25 95 6
25 96 1
25 97 6
25 98 9
25 99 11
26 27 12
26 28 18
26 29 7
26 30 14
26 31 19
26 32 1
26 33 5
26 34 10
26 35 18
26 36 5
26 37 15
26 38 12
26 39 10
26 40 2
26 41 12
26 42 1
26 43 7
26 44 9
26 45 8
26 46 7
26 47 7
26 48 17
26 49 1
26 50 12
26 51 11
26 52 9
26 53 7
26 54 17
26 55 3
26 56 6
26 57 10
26 58 12
26 59 5
26 60 20
26 61 7
26 62 7
26 63 18
26 64 9
26 65 15
26 66 2
26 67 1
26 68 20
26 69 20
26 70 9
26 71 18
26 72 1
26 73 12
26 74 15
26 75 5
26 76 6
26 77 3
26 78 11
26 79 6
26 80 11
26 81 7
26 82 15
26 83 20
26 84 8
26 85 13
26 86 10
26 87 16
26 88 17
26 89 8
26 90 18
26 91 17
26 92 10
26 93 12
26 94 2
26 95 6
26 96 15
26 97 11
26 98 16
26 99 8
27 28 11
27 29 20
27 30 5
27 31 7
27 32 12
27 33 18
27 34 15
27 35 17
27 36 6
